DSP_project,Soil,Site_Field_ID,PedonID,trt,Label_full,Label,Internal,Internal label,internal Plot,DSP_Pedon,Pedon_Num,DSP_Plot_ID,DSP_Pedon_ID,layer_no,hzdesg,hrzdep_t,hrzdep_b,LayerID,DSP_sample_ID,Sand%,Silt%,Clay%,Texture,Bulk_Density,alt_BD,Water_Content,SOC_pct,TN_pct,KSSL_WSA,ARS_AggStab_MWD,ARS_AggStab_TotalWS,ARS_WS_2-8,ARS_WS_.5-2,ARS_WS_250-250,ARS_WS_53-250,EC,pH,Soil_Respiration,Bglucosidase,Bglucosaminidase,Alkaline Phosphatase,Acid Phosphatase,Phosphodiesterase,Arylsulfatase,POX_C,ACE,WEOC (mg/kg),WEON (mg/kg), KSSL_LabSampleNo,PLFA_ID
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-104-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 104,X,X,S2018KS153104,1,KeC3,KeC3 - 1,5,Btk,39,57,KeC3 - 104-5,KeC3 - 1-5,,,,,1.21216204,1.21216204,0.108888889,0.52,,6.833333333,0.458498439,,,,,,,,1.020264799,15.81395693,4.739755342,48.89122845,24.39809104,34.78505169,.,90.96712665,863.1358592,,,196960,KS-153-SW-104-5-39_57-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-104-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 104,X,X,S2018KS153104,1,KeC3,KeC3 - 1,6,Bk1,57,77,KeC3 - 104-6,KeC3 - 1-6,,,,,1.325972752,1.325972752,0.079913607,0.62,,7.333333333,0.728521362,,,,,,,,1.005676056,4.659157641,2.866996872,28.54662698,37.57979641,34.49657159,.,80.35707786,661.3559047,,,196961,KS-153-SW-104-6-57_77-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-104-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 104,X,X,S2018KS153104,1,KeC3,KeC3 - 1,7,Bk2,77,100,KeC3 - 104-7,KeC3 - 1-7,,,,,1.268741182,1.268741182,0.074946467,0.49,,11.16666667,0.422605123,,,,,,,,0.951573543,7.037148782,1.703223254,43.18165132,29.76582513,6.027956492,.,79.510069,542.0483622,,,196962,KS-153-SW-104-7-77_100-2018R
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-105-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 105,X,X,S2018KS153105,2,KeC3,KeC3 - 2,1,Ap1,0,5,KeC3 - 105-1,KeC3 - 2-1,,,,,1.316326125,1.316326125,0.18,1.22,,4.166666667,0.2926964,,,,,,,,1.050406868,146.3145789,94.78466704,64.33891189,267.0293886,26.72368382,.,277.5474589,2788.854055,,,196963,KS-153-SW-105-1-0_5-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-105-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 105,X,X,S2018KS153105,2,KeC3,KeC3 - 2,2,Ap1,5,10,KeC3 - 105-2,KeC3 - 2-2,,,,,1.332111515,1.332111515,0.18,0.96,,3.333333333,0.297998662,,,,,,,,1.009037661,82.87903168,49.2379457,89.05932031,282.662037,19.40846008,.,276.3173384,2232.66495,,,196964,KS-153-SW-105-2-5_10-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-105-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 105,X,X,S2018KS153105,2,KeC3,KeC3 - 2,3,Ap2,10,15,KeC3 - 105-3,KeC3 - 2-3,,,,,1.282124447,1.282124447,0.180522565,0.78,,2.333333333,0.278104081,,,,,,,,0.863514908,34.54868336,30.06022412,137.0242764,177.6715225,63.07809991,.,188.8867155,1304.265997,,,196965,KS-153-SW-105-3-10_15-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-105-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 105,X,X,S2018KS153105,2,KeC3,KeC3 - 2,4,Bt1,15,26,KeC3 - 105-4,KeC3 - 2-4,,,,,1.477289268,1.477289268,0.204379562,0.68,,3.333333333,0.353624707,,,,,,,,0.854245523,29.55690448,17.84450183,124.0173014,94.62837333,117.9349088,.,136.5855923,1033.831436,,,196966,KS-153-SW-105-4-15_26-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-105-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 105,X,X,S2018KS153105,2,KeC3,KeC3 - 2,5,Bt2,26,35,KeC3 - 105-5,KeC3 - 2-5,,,,,1.372451956,1.372451956,0.169767442,0.87,,15.16666667,0.514089968,,,,,,,,1.065662376,25.62578404,12.02704778,125.6835009,77.5241148,108.4158444,.,158.895788,874.6806081,,,196967,KS-153-SW-105-5-26_35-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-105-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 105,X,X,S2018KS153105,2,KeC3,KeC3 - 2,6,Btk1,35,55,KeC3 - 105-6,KeC3 - 2-6,,,,,1.27401251,1.27401251,0.084415584,0.8,,8.166666667,0.386215574,,,,,,,,1.030262758,14.12402587,5.580381832,66.29173208,63.32894942,53.72054053,.,140.353864,918.8265868,,,196968,KS-153-SW-105-6-35_55-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-105-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 105,X,X,S2018KS153105,2,KeC3,KeC3 - 2,7,Btk2,55,86,KeC3 - 105-7,KeC3 - 2-7,,,,,1.313044574,1.313044574,0.070212766,0.45,,3.5,0.261490644,,,,,,,,0.978541091,6.400410245,4.664214567,28.27289353,93.21170635,28.98246009,.,94.8319799,703.8871149,,,196969,KS-153-SW-105-7-55_86-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-105-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 105,X,X,S2018KS153105,2,KeC3,KeC3 - 2,8,Bk,86,100,KeC3 - 105-8,KeC3 - 2-8,,,,,1.334554492,1.334554492,0.068376068,0.4,,8.166666667,0.383381731,,,,,,,,0.953996933,5.725139307,2.772838603,2.681270799,43.36105713,11.69189237,.,50.75555898,597.3974625,,,196970,KS-153-SW-105-8-86_100-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-106-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 106,X,X,S2018KS153106,3,KeC3,KeC3 - 3,1,Ap1,0,5,KeC3 - 106-1,KeC3 - 3-1,,,,,1.252307599,1.252307599,0.21,1.23,,5.833333333,0.269389469,,,,,,,,1.001461731,151.2082572,94.88018071,73.00508462,251.2685607,43.28463582,.,355.7771108,3167.781283,,,196971,KS-153-SW-106-1-0_5-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-106-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 106,X,X,S2018KS153106,3,KeC3,KeC3 - 3,2,Ap1,5,10,KeC3 - 106-2,KeC3 - 3-2,,,,,1.210213226,1.210213226,0.21,1.03,,3.333333333,0.263955939,,,,,,,,0.905567696,93.84788239,51.15994573,69.70855232,240.6402193,28.36683248,.,296.5281648,2692.065224,,,196972,KS-153-SW-106-2-5_10-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-106-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 106,X,X,S2018KS153106,3,KeC3,KeC3 - 3,3,Ap2,10,18,KeC3 - 106-3,KeC3 - 3-3,,,,,1.258446362,1.258446362,0.193317422,0.88,,4.666666667,0.36472446,,,,,,,,0.855035132,47.09492543,33.793788,129.4205982,204.9618902,69.83446317,.,222.802963,1613.607597,,,196973,KS-153-SW-106-3-10_18-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-106-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 106,X,X,S2018KS153106,3,KeC3,KeC3 - 3,4,Bt1,18,29,KeC3 - 106-4,KeC3 - 3-4,,,,,1.427461648,1.427461648,0.196642686,1.01,,10.33333333,0.408587541,,,,,,,,0.867759697,24.88454487,21.64937215,163.9718818,83.13507027,138.8037421,.,189.6074628,980.5890522,,,196974,KS-153-SW-106-4-18_29-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-106-1-0_5-2018,Till converting to no-till,BAU,BAU,KeC3 - 106,X,X,S2018KS153106,3,KeC3,KeC3 - 3,5,Bt2,29,41,KeC3 - 106-5,KeC3 - 3-5,,,,,1.348335388,1.348335388,0.140229885,0.89,,13.83333333,0.443213805,,,,,,,,1.072766636,23.81139227,12.46478968,71.13172313,55.09726536,108.606457,.,185.4862454,897.6032635,,,196975,KS-153-SW-106-5-29_41-2018
