Bulk_Density,POX_C,ACE,Bglucosidase,Bglucosaminidase,Alkaline Phosphatase,Acid Phosphatase
1.265377223,126.3199604,989.2280578,13.81156875,14.27305279,97.34156668,31.68182078
1.182778907,718.1873299,6002.216798,378.8790036,207.5886525,1538.014184,248.902439
1.38,218.7,1230.6,79.13602426,20.6832864,58.35022298,44.06044776
1.25529293,716.0925387,12413.42759,572.2597865,126.3297872,421.4716312,293.2150776
0.7,276.6,4920.5,40.56562803,-0.574658787,18.58758707,19.65888135
0.65,428.1,15944.9,50.99387241,0.322464085,10.66122026,44.79238596
0.91,650.3,3001.0,16.89444115,2.382505596,1.231487718,98.92042746
1.334373164,70.2634652,725.9858994,7.87254098,11.11111731,39.58360505,0.316514414
2.029543834,715.8391366,3590.933114,78.20284698,63.29787234,75.85106383,23.3037694
1.083053141,489.8033607,4376.120059,88.26337233,55.0906857,137.5248901,872.9538521
1.168358026,98.61654084,1042.25876,15.71217175,6.542631243,64.94505282,14.29381276
1.07,868.8,11284.6,14.21152829,104.1452083,41.92049772,19.02403924
1.16479891,142.598296,836.9274037,10.22902977,6.99144728,17.63072885,7.772379222
1.28694776,135.037455,1285.603522,10.78763003,59.29452595,165.8148636,207.885422
0.99,5.5,948.9,29.04705901,44.77137034,-0.995954722,24.79364878
1.148240955,114.6345574,719.7024191,7.24152887,6.377244913,29.67303026,5.009219621
0.99,2.1,2047.9,76.38929682,122.2476498,13.8974918,8.286170438
1.518466812,162.9854135,1309.640536,21.50412112,14.52952526,98.69782684,48.04699658
1.267764127,135.4659818,916.9411692,14.15172677,12.19653278,85.85430753,51.10644258
1.258446362,222.802963,1613.607597,47.09492543,33.793788,129.4205982,204.9618902
1.357105049,131.3915604,1006.620447,9.711417417,46.44448723,144.6654434,58.5758547
1.181085423,342.411129,2434.221222,56.40008068,40.54933503,201.7515668,406.3519004
1.426531532,197.2828859,1362.168808,11.34518232,18.12278661,75.7057296,73.00655602
1.008049461,473.2934504,2334.288438,17.81966187,51.38828989,150.632471,434.0319432
0.71,210.6,3780.9,53.89782022,26.891438,9.444823986,45.51175538
1.15,17.2,844.4,38.40222407,48.06893511,8.268872112,25.82649217
1.537952109,716.4135148,4759.910045,241.5124555,91.40070922,143.9361702,177.9268293
1.140932904,338.3806456,5370.330763,61.65974105,44.9615553,37.14614878,283.7241178
1.328019006,129.6638781,875.3771512,9.266156101,10.17260641,38.17264038,0.435390071
0.311519275,720.4967644,9224.442068,720.088968,796.6312057,2524.361702,1448.756401
0.795992902,424.9224399,3756.617109,93.5301156,70.24860534,151.7987521,628.7747004
0.89,134.3,2802.0,14.5233914,27.81865718,1.841438264,3.801179775
1.668044854,714.0315345,188.8469002,11.20996441,5.141843972,5.815602837,56.86622321
1.06,0.0,452.1,45.9363346,89.47848226,60.81367663,7.145586877
0.870713957,716.24458,12687.27021,512.9715302,123.5815603,673.4751773,221.1751663
1.06,16.0,1295.8,58.77853585,8.234624482,-1.277673064,107.4640591
0.58,384.8,12987.8,16.69415678,25.61602841,2.511339878,16.44252847
1.26,0.0,4537.4,41.46001526,97.11020147,-0.991498054,5.89776016
1.13,13.8,3269.2,12.39975597,2.764031229,-0.925953462,21.47990123
1.24,7.3,922.1,50.36549491,40.72635732,1.003806524,4.702748335
1.368067125,97.97083588,816.852812,9.637171701,17.02488684,70.70702971,17.96742319
1.427461648,189.6074628,980.5890522,24.88454487,21.64937215,163.9718818,83.13507027
1.353542374,79.55862375,909.6279222,19.78434638,13.79510044,134.0015371,69.79800665
1.09,515.5,1433.9,36.74369553,43.03034891,4.150786722,61.84590536
2.242053577,715.1971844,2008.227728,87.54448399,41.57801418,118.4042553,98.58093126
0.85,23.7,2515.2,20.69392318,49.84328044,79.53864935,29.16942586
1.111048597,65.14731103,809.1784164,11.43061655,6.174033791,43.0205342,8.566509496
2.127431703,716.0418583,3629.721694,119.0391459,40.07092199,196.7730496,98.72875092
1.18,31.5,3387.8,88.09193418,-2.546637,19.37496746,6.953981081
1.531282759,716.4810887,12608.61971,860.5071174,221.0638298,564.4326241,462.804878
1.327269137,125.0770674,1036.462424,25.54486508,12.45267513,123.1587693,35.01849458
0.91,650.3,16157.0,16.89444115,2.382505596,1.231487718,98.92042746
1.07,780.0,3191.6,13.17429058,1.002054738,14.9126075,111.1584033
1.09,145.5,784.8,31.50816717,11.68267259,5.121209482,4.833100572
1.16,364.7,160.4,14.67848866,2.338849856,16.43005752,81.41290222
1.104977293,327.9649722,3541.860892,67.78285478,55.09657173,143.3205817,624.2046036
1.796116584,715.889817,9595.690148,236.7081851,77.30496454,319.1134752,218.917221
1.334358741,104.0500293,1065.160021,11.16428602,40.7390197,156.3072197,61.46946968
1.414107846,35.26066536,611.7749003,3.986377929,10.49539297,41.63847792,13.41808735
1.841468164,716.987893,4791.142169,121.1743772,109.929078,146.7730496,130.9053954
1.597733737,716.987893,10720.5838,333.5053381,207.2340426,534.5921986,185.2660754
0.97,0.0,4640.5,27.94796216,6.064881777,12.31316478,17.21986988
1.394038814,155.7397509,1857.299906,36.53035196,26.24792322,84.9517055,163.6690978
1.22,4.5,1791.8,68.11250179,91.18045455,1.824207281,20.99327166
1.305217888,281.6029038,1828.286173,42.4601848,43.4747127,156.8380026,297.9370915
2.176269534,714.1244766,375.6570139,61.5658363,5.762411348,46.87943262,18.19678127
1.276998633,717.9958127,16945.22632,120.5160142,92.81914894,75.67375887,218.5076811
1.268741182,79.510069,542.0483622,7.037148782,1.703223254,43.18165132,29.76582513
0.989217767,481.2834225,7363.731581,79.21897723,90.72272663,48.52059423,347.4646757
1.0,8.4,1497.0,15.64325142,8.182905575,58.46964578,30.01002152
1.3,0.0,1584.7,45.49659197,98.62453244,4.699118364,4.828428885
1.12,0.0,632.0,13.0355937,84.53759629,10.93857307,18.52227508
